ID,TITLE,DESCRIPTION,DURATION,STATUS,DATE PUBLISHED,KEYWORDS,VIDIQ SCORE,VIEWS,YT LIKES,YT COMMENTS,DESC LINK COUNT,DESC WORD COUNT,CREATOR SUGGESTED,ENGAGEMENT RATE
XhYs5AAsqDA,Bari Eid Ki Shopping Karli 😍 | Aroob Ko Mere Sath Shopping Karna Pasand Nahi 😭,,-,public,-,,77.33396902053235,1917904,106K,3.4K,0,0,5,3
f7oja-l6F14,Mama Meri Gari Ki Accident Video Dekh Kar Ro Pari 😭💔 | Truth About Fake Car Accident Video 🙏🏻,,-,public,-,,76.51063878984955,2378496,124K,3.1K,0,0,8,3
MU_43jDHw7A,Qurbani Ke Liye Cow Le Li ❤️ | Mandi Ka Khoobsurat Janwar 😍,,-,public,-,,80.13862431295746,2749898,165K,8.2K,0,0,9,3
zcl-QA8h8lk,Eid Se Pehle Qurbani Ka Bakra Qurban Ho Geya 💔 | Kuku Is No More 😭,,-,public,-,,78.79795627242106,2689851,147K,4.7K,0,0,8,3
P6nKX4T0cJQ,Mera Qurbani Ka Bakra Marne Wala Hai 💔 | Kuku Beemaar Ho Geya 😭 | Need Prayers 🙏🏻,,-,public,-,,78.33007942192708,2414237,129K,6.9K,0,0,10,3
Gquv7D5QkYE,Shippu Got Kidnapped 😭 | Sab Ghar Wale Pareshan Ho Gaye 💔,,-,public,-,,77.61429795316455,3069356,149K,0,0,0,9,2
v4_R1Lygccg,Aroob Ne Pehli Baar Bakra Mandi Dekhi 🐐😍 | Mandi Se Agla Janwar Konsa Len ? 🤔,,-,public,-,,63.78806362951721,2515978,139K,0,0,0,7,3
nz3Z9TRCKlo,Gaming Room Ki Renovation Start Ho Gai 😍 | New Room Coming Soon 🔥,,-,public,-,,78.76426892478082,2001747,121K,0,0,0,7,3
IkuONDtN1SA,Qurbani Ka Bakra Le Liya 😍 | Bakray Aur Shippu Ki Dosti Nahi Ho Rahi 😭,,-,public,-,,64.08016853804267,2691644,141K,0,0,0,8,3
lxw7uRzi068,Shippu Ne Fortuner Legender Ki Ride Li 🤣 | Agla Qurbani Ka Janwar Kab Aye Ga ? 😍,,-,public,-,,83.41506203910102,2131830,122K,4K,0,0,9,3
t2T5ilcbyrI,Aroob Ka Shippu Wapis Aageya 😍 | Qurbani Ke Liye Mandi Se Sheep Le Aye ❤️🐑,,-,public,-,,85.73164988,3337476,176K,0,0,0,7,3
MsjxFffqQh4,Best Horror Prank Ever 😱 | Chotay Bhai Ko Sadma Lag Gaya 🤣,,-,public,-,,82.19839033345207,3540710,188K,7.1K,0,0,8,3
TrjT0Kc7GME,Scary Horror Prank With Aroob 😱 | Yeh Video Akele Mat Dekhna 🙏🏼👻,,-,public,-,,84.79724421245402,3585878,194K,0,0,0,8,3
z-wBIQBMhFI,Qurbani Ka 1.5 Crore Ka Janwar 🐂😱 | Expensive Cow Mandi Ke Khoobsurat Janwar Dekhe 😍,,-,public,-,,78.86897126,2734350,150K,0,0,0,5,3
E69FRnp2sVY,Ghar Aate Hi Behosh Ho Gaya 😱 | 10 Ghante Drive Karke Ghar pohonch Gaye 😍,,-,public,-,,63.325986826788096,2261208,132K,4.6K,0,0,8,3
qaPnmR0SDJ8,Donon Ki Larai Karwadi Galti Se 🤣 | Trip Ka Last Day 😭,,-,public,-,,84.51103032,2746159,139K,3.7K,0,0,7,3
lnQVxuqa854,Scary Robbery Prank 😱 | Chor Sab Kuch Loot Ker Bhag Gaye 😭,,-,public,-,,87.40257756715154,5356402,283K,0,0,0,7,3
DsKGyrekj50,Fortuner Legender In Mountains For The First Time 😍 | Long Drive Ke Baad Jannat Pohonch Gaye ❤️,,-,public,-,,88.34007985,2926833,155K,5.1K,0,0,7,3
mFMMAqS6nPM,Fortuner Legender Par Pehla Road Trip 😍,,-,public,-,,81.13501649269216,2307845,134K,0,0,0,7,3
yP_lPFp2sOE,Met Humayun Saeed 😍 | Itne Dinon Se Vlog Kyun Nahi Aaya ? 😟,,-,public,-,,81.95936112830046,2094042,137K,0,0,0,5,3
Wstk7F5ebXA,Fortuner Legender Is Back After Accident 😍 | Flight Cancel Ho Gai 😭,,-,public,-,,81.71806196963972,2263417,130K,0,0,0,7,3
9uxQzcATa3g,Emergency Trip Pe Jana Pare Ga 😱 | Sab Ko Mere Jane Ki Khushi Hai 🤣,,-,public,-,,82.07248728,1910664,128K,7.5K,0,0,7,3
NlrzY_7MeUY,Fake Fight Prank On My Mother 🤣 | Mama Dar Gaye 😱,,-,public,-,,83.19003751354234,3710345,210K,0,0,0,7,3
lVD8PIZ1_JM,Mama Gussa Ho Gain 😡 | Galti Se Mehmano Ka Khana Kha Liya 😱,,-,public,-,,83.50151265184812,2174840,140K,0,0,0,7,3
9zYpzmqi0iw,Thank You For 7 Million Subscribers 🥳 | Celebration With Ducky Bhai Army ❤️,,-,public,-,,82.75935606,2519182,173K,0,0,0,6,3
2Bq6wY74M3E,Meri Gari Ka Accident Ho Gaya 😭 | Nazar Is Real 💔,,-,public,-,,79.56978434591514,1928978,135K,6.1K,0,0,6,3
cRb5-voMiJI,We Are Back ❤️,,-,public,-,,82.69140084,3306583,279K,0,0,0,10,3
0lhwJgBa_7A,I Need Your Help 🙏🏼 | My Response To Fake Videos,,-,public,-,,95.37125876057962,4474987,260K,44K,0,0,5,3
Xx9Hd2enjTI,Meri Gari Par Sticky Notes Prank Ho Geya 😱 | Sticky Notes Car Prank (Gone Wrong) 😡,,-,public,-,,80.69378771931116,2500999,133K,0,0,0,-,3
p-JCIHYgc1w,Aroob Aaj Ke Baad Meri Gari Par Nahi Bethe Gi 🤣,,-,public,-,,80.14001424356191,2200625,141K,5.2K,0,0,8,3
PlBQIOxpkNA,Living In A Car For 24 Hours Challenge 🚗😱,,-,public,-,,88.51894257,4485767,265K,16K,0,0,7,3
9OLabkEWcWg,Bachon Ki Bike Chura Kar Bhag Gaya 🤣,,-,public,-,,84.49868616,2510143,133K,0,0,0,8,3
HbWQ5NuGVig,Hamare Nikkah Ko 2 Saal Ho Gaye 😍 | We Recreated Our Nikkah Look 🤣 Nikkah Anniversary ❤️,,-,public,-,,78.51260766331643,2518230,141K,14K,0,0,8,3
flz-63kRLew,Zindagi Mein Pehli Baar Gym Join Karli 🤣,,-,public,-,,80.25369493235429,2259192,144K,5.4K,0,0,7,3
